Source,Target,dich,value
1,1516,1,1
5,1584,1,1
5,1461,1,1
8,1624,1,1
8,301,1,1
8,1611,1,1
8,1540,1,1
9,2000,1,1
9,1444,1,2
9,1374,1,1
15,178,1,1
16,1598,1,1
16,1434,1,1
16,955,1,1
20,8,1,1
30,615,1,1
30,1453,1,1
31,159,1,2
31,364,1,2
31,1710,1,1
31,450,1,1
31,1604,1,1
31,1491,1,3
31,1361,1,1
31,690,1,1
31,1721,1,1
31,545,1,3
31,1490,1,2
58,652,1,1
58,1352,1,1
60,543,1,1
60,171,1,1
81,221,1,1
81,310,1,1
81,1426,1,1
86,1467,1,1
86,1639,1,1
96,941,1,1
99,1272,1,1
126,1375,1,1
130,266,1,1
131,1699,1,1
140,832,1,1
142,1322,1,1
147,1216,1,1
147,1439,1,1
148,1394,1,1
148,1720,1,1
148,1389,1,1
148,1375,1,1
148,1193,1,1
148,1654,1,1
148,751,1,1
148,678,1,1
156,1380,1,1
158,1306,1,1
158,1374,1,1
175,375,1,1
188,1306,1,1
188,1628,1,1
203,1735,1,1
215,1460,1,1
215,501,1,1
215,1546,1,1
216,781,1,1
216,671,1,1
216,313,1,2
216,33,1,1
217,585,1,1
221,691,1,1
236,538,1,1
236,1296,1,1
236,49,1,1
236,20,1,1
236,759,1,1
236,200,1,1
259,164,1,1
264,1715,1,1
264,902,1,1
266,1392,1,1
266,1391,1,1
291,1638,1,1
301,1624,1,1
307,1467,1,1
307,1279,1,1
308,1365,1,1
308,404,1,1
312,1687,1,1
314,1133,1,1
314,604,1,1
314,373,1,1
315,1151,1,1
315,220,1,1
341,941,1,1
352,585,1,1
353,1624,1,1
356,622,1,1
356,915,1,1
357,1506,1,1
357,1039,1,1
366,950,1,1
375,263,1,1
375,317,1,1
375,382,1,1
375,463,1,1
375,1438,1,1
375,1601,1,3
375,53,1,1
382,1393,1,1
382,1361,1,1
382,1087,1,1
382,30,1,1
412,1467,1,1
443,235,1,1
443,1582,1,1
447,171,1,1
448,1294,1,1
448,1463,1,1
448,1207,1,1
458,4,1,1
473,776,1,1
475,1696,1,1
488,724,1,3
503,1306,1,1
518,950,1,1
523,1303,1,1
523,1687,1,1
538,236,1,1
538,28,1,1
538,530,1,1
538,1210,1,1
538,1449,1,1
539,1584,1,1
539,1721,1,1
539,541,1,1
541,1721,1,1
541,539,1,1
541,1584,1,1
542,397,1,1
542,1540,1,1
546,1681,1,2
546,1090,1,1
548,1468,1,1
551,1272,1,1
558,1456,1,1
558,1469,1,1
558,1697,1,1
558,429,1,1
560,1523,1,1
560,1322,1,1
560,1512,1,1
568,677,1,1
588,1439,1,1
603,6,1,1
626,1279,1,1
630,1051,1,1
630,956,1,1
632,1210,1,1
637,1697,1,1
637,558,1,1
637,876,1,1
649,671,1,1
650,832,1,1
660,617,1,1
671,1347,1,2
671,810,1,1
671,1322,1,1
671,724,1,1
674,1536,1,1
674,1288,1,1
677,24,1,1
677,1151,1,1
689,1546,1,1
689,178,1,1
691,1152,1,1
691,631,1,1
691,687,1,1
694,448,1,1
695,1696,1,1
705,582,1,1
705,757,1,1
705,122,1,1
705,309,1,1
705,1135,1,1
705,534,1,1
705,1133,1,2
705,974,1,1
713,412,1,1
713,1178,1,1
713,1364,1,1
717,1073,1,1
724,488,1,4
729,1699,1,1
729,1051,1,1
730,1576,1,3
730,1344,1,2
730,1699,1,1
730,1380,1,3
730,1561,1,1
730,221,1,1
730,948,1,1
730,1403,1,1
731,1550,1,1
762,915,1,1
763,1322,1,1
763,2000,1,1
763,1540,1,1
768,171,1,1
771,1462,1,1
771,1324,1,1
773,1347,1,1
777,1528,1,1
777,1542,1,2
777,1056,1,1
777,464,1,1
777,746,1,1
777,744,1,1
789,1236,1,1
793,1133,1,1
801,1528,1,1
801,442,1,1
843,1322,1,1
845,1272,1,1
852,1439,1,1
852,1456,1,1
852,169,1,1
852,1268,1,1
853,1413,1,1
856,1039,1,1
856,581,1,1
874,915,1,2
874,1610,1,1
878,31,1,1
884,1365,1,1
887,1540,1,1
901,1618,1,1
915,1655,1,1
915,1504,1,1
915,622,1,1
915,247,1,1
915,874,1,1
915,1333,1,1
918,521,1,1
918,734,1,1
925,221,1,1
927,1294,1,1
940,334,1,2
940,734,1,1
941,671,1,2
941,1322,1,1
941,1392,1,1
941,1330,1,1
943,1272,1,1
962,108,1,1
970,1488,1,1
970,915,1,1
970,382,1,1
981,1009,1,1
981,1513,1,1
1001,686,1,1
1001,1171,1,1
1009,1719,1,1
1009,1601,1,2
1009,915,1,1
1009,474,1,1
1009,1575,1,1
1009,1249,1,1
1009,375,1,1
1009,922,1,1
1051,956,1,1
1054,1540,1,1
1056,1316,1,1
1056,1202,1,1
1056,1322,1,1
1056,1403,1,1
1073,98,1,1
1073,316,1,1
1073,1363,1,1
1074,1347,1,1
1090,915,1,1
1090,1133,1,1
1102,1428,1,1
1102,500,1,1
1102,1236,1,2
1112,1601,1,1
1120,1350,1,1
1120,1550,1,1
1122,1540,1,1
1127,2000,1,1
1129,1374,1,1
1133,129,1,1
1146,486,1,1
1175,629,1,1
1175,830,1,1
1175,1689,1,1
1177,1001,1,1
1177,351,1,2
1185,1009,1,1
1195,1306,1,1
1202,1056,1,1
1202,1316,1,1
1202,1421,1,1
1207,448,1,1
1225,1274,1,1
1225,395,1,1
1225,1428,1,1
1226,1540,1,5
1226,1018,1,1
1233,1439,1,1
1236,1532,1,4
1236,1577,1,4
1236,586,1,1
1236,1573,1,1
1236,620,1,1
1236,556,1,1
1236,244,1,1
1236,962,1,1
1236,800,1,2
1236,62,1,1
1238,1540,1,1
1240,888,1,1
1240,1272,1,1
1249,262,1,2
1249,1212,1,2
1249,507,1,2
1249,1575,1,3
1251,884,1,1
1252,1322,1,2
1256,1073,1,2
1256,329,1,1
1262,8,1,2
1265,1684,1,1
1265,697,1,1
1272,1176,1,1
1272,1319,1,1
1272,1264,1,1
1272,629,1,1
1272,1616,1,1
1272,551,1,1
1274,1428,1,5
1274,1304,1,1
1274,990,1,1
1274,1313,1,1
1274,904,1,1
1274,870,1,1
1274,1317,1,2
1274,1420,1,1
1282,81,1,1
1284,1491,1,1
1284,1453,1,1
1288,1069,1,1
1288,1467,1,1
1294,191,1,1
1294,1372,1,1
1294,769,1,1
1301,1540,1,2
1301,1182,1,1
1303,523,1,2
1303,950,1,1
1304,293,1,1
1305,1358,1,1
1305,1044,1,1
1306,1692,1,1
1306,720,1,1
1306,241,1,1
1306,1601,1,1
1306,926,1,1
1306,1197,1,1
1306,1627,1,1
1314,1439,1,1
1316,1382,1,1
1316,1658,1,1
1317,1292,1,1
1317,1274,1,1
1317,1428,1,1
1317,1569,1,1
1318,1492,1,1
1322,671,1,3
1322,941,1,1
1322,557,1,1
1322,1073,1,1
1322,1575,1,1
1322,100,1,1
1322,385,1,1
1323,1540,1,1
1324,1374,1,3
1324,1323,1,1
1324,1540,1,2
1325,941,1,1
1326,1439,1,1
1330,326,1,1
1330,335,1,1
1332,1525,1,1
1332,36,1,1
1332,1428,1,1
1333,1306,1,1
1334,437,1,1
1334,915,1,1
1344,35,1,1
1347,671,1,1
1347,1181,1,1
1348,236,1,1
1358,186,1,1
1358,649,1,1
1363,1611,1,1
1363,1660,1,1
1367,2000,1,1
1367,652,1,1
1367,9,1,1
1374,82,1,3
1374,1728,1,1
1374,1272,1,1
1374,671,1,1
1374,1129,1,1
1375,115,1,2
1375,1696,1,2
1375,1376,1,3
1375,508,1,2
1375,1728,1,2
1375,1470,1,1
1375,221,1,1
1375,1306,1,1
1376,306,1,1
1376,1375,1,1
1377,915,1,2
1377,924,1,1
1377,1719,1,1
1380,730,1,3
1380,1576,1,2
1380,1699,1,1
1380,1538,1,1
1380,237,1,1
1380,473,1,1
1380,1614,1,1
1382,171,1,1
1382,543,1,1
1382,529,1,1
1382,743,1,1
1382,915,1,1
1382,762,1,1
1382,1444,1,1
1382,1677,1,1
1391,1392,1,2
1391,268,1,1
1391,568,1,1
1391,721,1,1
1391,1150,1,1
1392,1171,1,1
1392,777,1,1
1392,1150,1,1
1392,1329,1,1
1392,1001,1,1
1392,1391,1,1
1397,1568,1,1
1398,1488,1,1
1401,1629,1,1
1401,688,1,1
1402,1374,1,1
1403,1380,1,2
1403,675,1,1
1410,1102,1,1
1413,71,1,2
1413,1375,1,2
1413,791,1,1
1413,1169,1,1
1413,1626,1,1
1413,963,1,1
1413,1444,1,1
1413,938,1,1
1413,462,1,1
1414,1491,1,1
1414,118,1,1
1420,431,1,1
1420,336,1,1
1421,30,1,2
1421,428,1,1
1427,1051,1,1
1428,1274,1,5
1428,1313,1,2
1428,990,1,2
1428,941,1,1
1428,1569,1,3
1428,671,1,1
1428,1716,1,2
1428,1245,1,1
1428,1317,1,1
1428,1102,1,1
1428,1524,1,1
1428,293,1,1
1428,193,1,1
1428,111,1,1
1428,1727,1,2
1428,1525,1,1
1432,1540,1,1
1432,1520,1,1
1434,439,1,1
1434,1433,1,1
1434,603,1,1
1434,4,1,1
1434,1580,1,1
1434,1598,1,1
1438,1629,1,1
1439,1456,1,2
1439,796,1,1
1439,1580,1,1
1439,1624,1,1
1439,1179,1,1
1439,1586,1,1
1444,1686,1,3
1444,941,1,1
1444,920,1,1
1444,932,1,1
1444,1117,1,1
1444,1098,1,1
1444,1101,1,1
1450,1272,1,1
1452,1272,1,1
1452,671,1,1
1452,1347,1,1
1452,1162,1,1
1453,633,1,1
1458,1540,1,2
1458,539,1,1
1458,1721,1,1
1458,946,1,1
1458,819,1,1
1458,1584,1,1
1458,1728,1,1
1463,832,1,1
1463,140,1,1
1465,1229,1,1
1465,1658,1,1
1471,1013,1,1
1471,1064,1,1
1471,1434,1,1
1474,171,1,1
1478,1504,1,1
1481,1540,1,1
1482,1694,1,1
1482,1219,1,1
1482,1540,1,1
1482,1374,1,1
1484,1483,1,1
1484,585,1,1
1485,1532,1,1
1488,1637,1,1
1488,915,1,1
1488,1209,1,1
1488,1513,1,1
1488,896,1,1
1490,28,1,1
1491,465,1,1
1491,1580,1,1
1491,211,1,1
1491,1477,1,1
1491,1731,1,1
1492,1540,1,1
1492,1226,1,1
1499,1541,1,1
1500,1540,1,1
1502,1718,1,1
1506,20,1,1
1506,8,1,1
1510,1284,1,1
1510,833,1,1
1516,1575,1,1
1516,1527,1,1
1516,231,1,1
1516,288,1,1
1516,513,1,1
1520,1540,1,2
1520,1432,1,1
1521,777,1,2
1521,1214,1,1
1521,683,1,1
1521,1395,1,1
1521,914,1,1
1521,818,1,1
1521,1542,1,1
1521,1325,1,1
1521,1473,1,1
1521,1653,1,1
1525,1428,1,1
1526,1380,1,2
1526,156,1,2
1528,1716,1,1
1528,1428,1,1
1528,1547,1,1
1528,1446,1,1
1528,238,1,1
1528,660,1,1
1532,1696,1,3
1532,1160,1,2
1533,725,1,1
1533,92,1,1
1533,706,1,1
1536,674,1,1
1536,1003,1,1
1538,1380,1,2
1540,1541,1,1
1540,625,1,1
1540,1100,1,1
1540,1492,1,2
1540,1728,1,1
1540,1262,1,1
1540,671,1,1
1540,1568,1,1
1540,1503,1,1
1540,1374,1,1
1540,1301,1,1
1540,1226,1,1
1540,1157,1,1
1542,38,1,1
1542,777,1,2
1546,261,1,1
1546,671,1,1
1546,1596,1,1
1550,778,1,1
1550,1637,1,1
1560,1380,1,1
1567,550,1,1
1568,486,1,1
1568,438,1,1
1568,1295,1,1
1568,918,1,1
1568,550,1,1
1568,1567,1,1
1568,1397,1,1
1569,1716,1,1
1569,1265,1,1
1569,1428,1,3
1570,547,1,1
1570,163,1,1
1570,1654,1,1
1575,1601,1,3
1575,262,1,1
1575,1212,1,1
1575,507,1,1
1575,1249,1,2
1576,1380,1,1
1576,1403,1,1
1576,730,1,1
1576,548,1,1
1576,472,1,1
1577,264,1,1
1579,1536,1,1
1579,448,1,1
1580,1248,1,1
1580,916,1,1
1580,470,1,1
1582,1653,1,1
1582,1479,1,1
1582,1721,1,1
1586,929,1,1
1586,1439,1,1
1601,1718,1,1
1601,1071,1,1
1601,375,1,1
1601,957,1,1
1614,1380,1,1
1618,1229,1,1
1618,1639,1,1
1618,1683,1,1
1619,1619,1,1
1619,4,1,1
1624,1421,1,1
1624,884,1,2
1624,643,1,2
1624,1359,1,2
1637,1715,1,1
1638,1284,1,1
1639,195,1,1
1639,980,1,1
1639,166,1,1
1639,259,1,1
1639,1130,1,1
1639,1236,1,1
1639,81,1,1
1639,1536,1,1
1639,126,1,1
1639,1467,1,1
1639,86,1,1
1639,1306,1,1
1639,1003,1,1
1639,1067,1,1
1639,1637,1,1
1639,1658,1,1
1639,1465,1,1
1649,542,1,1
1653,1322,1,3
1653,1458,1,1
1653,1475,1,1
1653,585,1,3
1653,1509,1,1
1653,1473,1,1
1653,1484,1,1
1655,389,1,1
1655,915,1,1
1660,411,1,1
1665,1306,1,1
1667,8,1,1
1669,1463,1,1
1677,915,1,2
1683,1121,1,1
1684,1276,1,1
1684,682,1,1
1686,1519,1,1
1686,274,1,1
1686,1444,1,2
1686,1040,1,1
1686,1428,1,1
1686,1204,1,1
1686,1363,1,1
1686,595,1,1
1686,1073,1,2
1686,1660,1,4
1686,1392,1,1
1687,1380,1,1
1687,523,1,2
1690,1540,1,1
1696,1674,1,1
1696,1375,1,1
1696,1532,1,1
1696,673,1,1
1696,248,1,1
1696,1361,1,1
1696,1577,1,1
1698,115,1,1
1699,1533,1,1
1716,1292,1,1
1716,1373,1,1
1718,1502,1,1
1719,1009,1,1
1721,1653,1,1
1721,1521,1,2
1721,1458,1,1
1727,1428,1,1
1728,1532,1,1
1728,1696,1,1
1728,1732,1,1
1728,1733,1,1
1728,1518,1,1
1728,1735,1,2
1728,1155,1,1
1732,1735,1,1
1733,1700,1,1
1733,1735,1,1
1735,890,1,1
1735,1728,1,1